idx,fold,true,pred,prob,top1,top3,top5,top5_with_delta
8,0,alginate,alginate,0.7354790540227568,binding,binding;PL5;1,binding;PL5;1;AraC;null,binding:+0.2245;PL5:+0.1972;1:+0.1625;AraC:+0.1069;null:+0.0308
10,0,alginate,alginate,0.48292682926829256,PL17,PL17;PL6;binding,PL17;PL6;binding;PfkB;2,PL17:+0.0899;PL6:+0.0787;binding:+0.0534;PfkB:+0.0405;2:+0.0343
11,0,alginate,alginate,1.0,PL17,PL17;PL6;GntR,PL17;PL6;GntR;1;2,PL17:+0.1947;PL6:+0.1263;GntR:+0.1113;1:+0.0904;2:+0.0656
12,0,alginate,alginate,1.0,PL17,PL17;PL6;GntR,PL17;PL6;GntR;1;2,PL17:+0.1913;PL6:+0.1253;GntR:+0.1161;1:+0.0820;2:+0.0656
19,0,alginate,alginate,1.0,PL6,PL6;1;1.B.14.12.2,PL6;1;1.B.14.12.2;PL7;5,PL6:+0.1636;1:+0.1529;1.B.14.12.2:+0.1213;PL7:+0.1211;5:+0.0957
24,0,alginate,alginate,0.9959919839679359,PL6,PL6;1;GntR,PL6;1;GntR;PL17;3,PL6:+0.0788;1:+0.0620;GntR:+0.0596;PL17:+0.0430;3:+0.0428
27,0,alginate,alginate,0.45719992786894337,PL5,PL5;1;null,PL5;1;null,PL5:+0.3826;1:+0.1240;null:+0.0026
30,0,alginate,alginate,1.0,PL17,PL17;PL6;1,PL17;PL6;1;2;2.A.1.14.25,PL17:+0.1466;PL6:+0.1081;1:+0.0607;2:+0.0593;2.A.1.14.25:+0.0467
33,0,alginate,alginate,0.993963782696177,PL17,PL17;PL6;1,PL17;PL6;1;2.A.1.14.25;2,PL17:+0.1516;PL6:+0.1089;1:+0.0838;2.A.1.14.25:+0.0585;2:+0.0567
43,0,alginate,alginate,0.7642699175963525,PL6,PL6;1.B.14.12.2;1,PL6;1.B.14.12.2;1;null;LacI,PL6:+0.3405;1.B.14.12.2:+0.1865;1:+0.1771;null:+0.0787;LacI:+0.0185
58,0,alpha-glucan,alpha-glucan,1.0,LacI,LacI;GH32;2.A.1.5.3,LacI;GH32;2.A.1.5.3,LacI:+0.3117;GH32:+0.1776;2.A.1.5.3:+0.0780
