idx,fold,true,pred,prob_true_cal,prob_pred_cal,top1,top3,top5,top5_with_delta
8,0,alginate,alginate,0.9187682231738137,0.9187682231738137,1,1;binding;PL5,1;binding;PL5;AraC;null,1:+0.1489;binding:+0.1461;PL5:+0.1383;AraC:+0.0634;null:+0.0047
10,0,alginate,alginate,0.6963556825459077,0.6963556825459077,PL17,PL17;PL6;binding,PL17;PL6;binding;PfkB;2,PL17:+0.1294;PL6:+0.1111;binding:+0.0689;PfkB:+0.0539;2:+0.0428
11,0,alginate,alginate,0.9999999999988423,0.9999999999988423,PL17,PL17;PL6;GntR,PL17;PL6;GntR;1;2,PL17:+0.0660;PL6:+0.0438;GntR:+0.0314;1:+0.0233;2:+0.0162
12,0,alginate,alginate,0.9999999999988423,0.9999999999988423,PL17,PL17;PL6;GntR,PL17;PL6;GntR;1;2,PL17:+0.0608;PL6:+0.0424;GntR:+0.0320;1:+0.0200;2:+0.0162
19,0,alginate,alginate,0.9999999999988423,0.9999999999988423,PL6,PL6;1;PL7,PL6;1;PL7;1.B.14.12.2;5,PL6:+0.0331;1:+0.0325;PL7:+0.0220;1.B.14.12.2:+0.0199;5:+0.0174
24,0,alginate,alginate,0.9996485695803605,0.9996485695803605,PL6,PL6;GntR;1,PL6;GntR;1;3;PL17,PL6:+0.0166;GntR:+0.0120;1:+0.0110;3:+0.0075;PL17:+0.0074
27,0,alginate,alginate,0.7038391021908303,0.7038391021908303,PL5,PL5;1;null,PL5;1;null,PL5:+0.6459;1:+0.2569;null:-0.0024
30,0,alginate,alginate,0.9999999999988423,0.9999999999988423,PL17,PL17;PL6;2,PL17;PL6;2;1;PfkB,PL17:+0.0362;PL6:+0.0221;2:+0.0105;1:+0.0100;PfkB:+0.0089
33,0,alginate,alginate,0.9993640440421248,0.9993640440421248,PL17,PL17;PL6;1,PL17;PL6;1;PfkB;2,PL17:+0.0418;PL6:+0.0249;1:+0.0152;PfkB:+0.0111;2:+0.0102
43,0,alginate,alginate,0.9314115214208116,0.9314115214208116,PL6,PL6;1.B.14.12.2;1,PL6;1.B.14.12.2;1;null;LacI,PL6:+0.2954;1.B.14.12.2:+0.1238;1:+0.1234;null:+0.0656;LacI:+0.0019
58,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,LacI,LacI;GH32;2.A.1.5.3,LacI;GH32;2.A.1.5.3;PfkB,LacI:+0.2354;GH32:+0.0479;2.A.1.5.3:+0.0267;PfkB:+0.0000
60,0,alpha-glucan,alpha-glucan,0.7617628638505272,0.7617628638505272,Pyr,Pyr;2;redox,Pyr;2;redox;38;GH13,Pyr:+0.1203;2:+0.1068;redox:+0.1065;38:+0.0585;GH13:+0.0480
62,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,LacI,LacI;GH13;3.A.1.1.45,LacI;GH13;3.A.1.1.45;30,LacI:+0.0524;GH13:+0.0362;3.A.1.1.45:+0.0140;30:+0.0070
64,0,alpha-glucan,beta-glucan,0.3293044365095119,0.628034304740523,GH13,GH13;LacI;1,GH13;LacI;1;3.A.1;Peripla,GH13:+0.3014;LacI:-0.0252;1:-0.0334;3.A.1:-0.0374;Peripla:-0.1442
67,0,alpha-glucan,alpha-glucan,0.9988962448260601,0.9988962448260601,GH13,GH13;20;8.A.9,GH13;20;8.A.9;3.A.1;CBM34,GH13:+0.0990;20:+0.0461;8.A.9:+0.0211;3.A.1:+0.0013;CBM34:+0.0011
69,0,alpha-glucan,alpha-glucan,0.8735664002925416,0.8735664002925416,GH97,GH97;8.A.9;1.B.14,GH97;8.A.9;1.B.14;null;8.A.46,GH97:+0.3985;8.A.9:+0.0519;1.B.14:+0.0056;null:-0.0049;8.A.46:-0.0405
70,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,GH13,GH13;20;CBM34,GH13;20;CBM34;3.A.1.1.26;null,GH13:+0.0904;20:+0.0287;CBM34:+0.0130;3.A.1.1.26:+0.0046;null:+0.0014
71,0,alpha-glucan,alpha-glucan,0.9580408721695105,0.9580408721695105,GH13,GH13;GT5;GT35,GH13;GT5;GT35;CBM48;null,GH13:+0.0893;GT5:+0.0603;GT35:+0.0477;CBM48:+0.0239;null:+0.0046
83,0,alpha-glucan,alpha-glucan,0.9998949684065922,0.9998949684065922,GH13,GH13;18;null,GH13;18;null;LacI,GH13:+0.0683;18:+0.0518;null:+0.0045;LacI:+0.0000
90,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,GH13,GH13;LacI;31,GH13;LacI;31,GH13:+0.0684;LacI:+0.0510;31:+0.0257
96,0,alpha-glucan,alpha-glucan,0.99991512234313,0.99991512234313,GH97,GH97;GH13;null,GH97;GH13;null;1.B.14.6.1;8.A.46.1.1,GH97:+0.0417;GH13:+0.0397;null:+0.0071;1.B.14.6.1:+0.0029;8.A.46.1.1:+0.0024
100,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,GH31,GH31;8.A.46.1.5;GH66,GH31;8.A.46.1.5;GH66;null;1.B.14.6.1,GH31:+0.0483;8.A.46.1.5:+0.0480;GH66:+0.0354;null:+0.0013;1.B.14.6.1:+0.0000
103,0,alpha-glucan,alpha-glucan,0.9999999999988423,0.9999999999988423,2.A.1.5.3,2.A.1.5.3;GH32,2.A.1.5.3;GH32,2.A.1.5.3:+0.1652;GH32:+0.1379
