idx,fold,true,pred,prob_true,top1,top3,top5,top5_with_delta
0,0,alginate,alginate,1.0,PL17,PL17;PL6;PfkB,PL17;PL6;PfkB;binding;2.A.1,PL17:+0.1312;PL6:+0.0540;PfkB:+0.0523;binding:+0.0286;2.A.1:+0.0285
9,0,alginate,alginate,0.7854609929078014,PL17,PL17;PL6;2.A.1,PL17;PL6;2.A.1;GntR;binding,PL17:+0.1036;PL6:+0.0782;2.A.1:+0.0743;GntR:+0.0488;binding:+0.0319
12,0,alginate,alginate,1.0,PL17,PL17;PL6;1.B.14,PL17;PL6;1.B.14;8.A.46;GntR,PL17:+0.2684;PL6:+0.1870;1.B.14:+0.0518;8.A.46:+0.0299;GntR:+0.0283
15,0,alginate,alginate,0.7868561278863232,PL17,PL17;PL6;2.A.1,PL17;PL6;2.A.1;GntR;binding,PL17:+0.1032;PL6:+0.0773;2.A.1:+0.0733;GntR:+0.0514;binding:+0.0315
19,0,alginate,alginate,1.0,PL6,PL6;LacI;1.B.14,PL6;LacI;1.B.14;null,PL6:+0.3651;LacI:+0.2004;1.B.14:+0.1805;null:+0.0979
31,0,alginate,alginate,1.0,PL17,PL17;PL6;null,PL17;PL6;null;PfkB;2.A.1,PL17:+0.2998;PL6:+0.1962;null:+0.0888;PfkB:+0.0803;2.A.1:+0.0453
34,0,alginate,alginate,0.8209764918625677,PL17,PL17;PL6;PfkB,PL17;PL6;PfkB;2.A.1;null,PL17:+0.2318;PL6:+0.1678;PfkB:+0.0756;2.A.1:+0.0635;null:+0.0261
41,0,alginate,alginate,0.8245517087767459,PL15,PL15;PL5;PL7,PL15;PL5;PL7;3.A.1;LacI,PL15:+0.1533;PL5:+0.1523;PL7:+0.1383;3.A.1:+0.0845;LacI:+0.0346
46,0,alginate,alginate,0.7109416577122415,PL6,PL6;PL7,PL6;PL7,PL6:+0.3269;PL7:+0.0699
47,0,alginate,alginate,0.8603773584905661,PL17,PL17;PL6;binding,PL17;PL6;binding;PL7;null,PL17:+0.0792;PL6:+0.0488;binding:+0.0255;PL7:+0.0236;null:+0.0228
48,0,alpha-glucan,alpha-glucan,1.0,GH97,GH97;GH31;8.A.46,GH97;GH31;8.A.46;1.B.14;null,GH97:+0.4497;GH31:+0.1771;8.A.46:+0.1655;1.B.14:+0.0989;null:+0.0535
58,0,alpha-glucan,alpha-glucan,1.0,LacI,LacI;GH32;2.A.1,LacI;GH32;2.A.1,LacI:+0.9982;GH32:+0.1965;2.A.1:+0.1490
64,0,alpha-glucan,alpha-glucan,0.6624319419237749,GH13,GH13,GH13,GH13:+0.5247
70,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;CBM34;null,GH13;CBM34;null,GH13:+0.3674;CBM34:+0.0979;null:+0.0120
71,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;null,GH13;null,GH13:+0.1831;null:+0.0079
72,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;CBM48;GT35,GH13;CBM48;GT35;null;GT5,GH13:+0.1820;CBM48:+0.0100;GT35:+0.0060;null:+0.0060;GT5:+0.0041
74,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;GT5;null,GH13;GT5;null;CBM48,GH13:+0.1567;GT5:+0.0345;null:+0.0079;CBM48:+0.0040
75,0,alpha-glucan,alpha-glucan,0.7745098039215687,LacI,LacI;GH13;PfkB,LacI;GH13;PfkB;GH36;GH32,LacI:+0.2004;GH13:+0.2002;PfkB:+0.1986;GH36:+0.1522;GH32:+0.1518
81,0,alpha-glucan,alpha-glucan,1.0,GH97,GH97;GH13;1.B.14,GH97;GH13;1.B.14;null,GH97:+0.2390;GH13:+0.1659;1.B.14:+0.0589;null:+0.0300
87,0,alpha-glucan,alpha-glucan,0.9416498993963782,GH13,GH13;LacI,GH13;LacI,GH13:+0.6436;LacI:+0.0845
102,0,alpha-glucan,alpha-glucan,1.0,GH66,GH66;GH31;8.A.46,GH66;GH31;8.A.46;null;1.B.14,GH66:+0.4497;GH31:+0.2981;8.A.46:+0.2156;null:+0.0643;1.B.14:+0.0326
108,0,alpha-glucan,alpha-glucan,0.7255448354217151,GH32,GH32;bac;SBP,GH32;bac;SBP;3.A.1,GH32:+0.2951;bac:+0.2089;SBP:+0.1774;3.A.1:+0.0672
116,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;GH97;null,GH13;GH97;null;1.B.14,GH13:+0.2971;GH97:+0.2120;null:+0.0220;1.B.14:+0.0204
120,0,alpha-glucan,alpha-glucan,0.4908485856905158,GH97,GH97;GH13;null,GH97;GH13;null,GH97:+0.2146;GH13:+0.1065;null:+0.0041
125,0,alpha-glucan,alpha-glucan,0.9706457925636007,GH77,GH77;LacI;GT35,GH77;LacI;GT35;3.A.1,GH77:+0.2871;LacI:+0.2631;GT35:+0.2165;3.A.1:+0.0736
126,0,alpha-glucan,alpha-glucan,1.0,GH77,GH77;LacI;GT35,GH77;LacI;GT35;3.A.1;null,GH77:+0.3040;LacI:+0.2621;GT35:+0.2259;3.A.1:+0.1208;null:+0.0294
127,0,alpha-glucan,alpha-glucan,0.897074268809868,LacI,LacI;GH77;GT35,LacI;GH77;GT35,LacI:+0.1965;GH77:+0.1409;GT35:+0.1238
135,0,alpha-glucan,alpha-glucan,0.9984603408233883,GH32,GH32;SBP;bac,GH32;SBP;bac;LacI;3.A.1,GH32:+0.6148;SBP:+0.4369;bac:+0.4194;LacI:+0.2729;3.A.1:+0.0601
145,0,alpha-glucan,alpha-glucan,0.7231490497319889,GH32,GH32;LacI,GH32;LacI,GH32:+0.1829;LacI:+0.1736
150,0,alpha-glucan,alpha-glucan,0.8669438669438668,GH13,GH13;CBM34;GH65,GH13;CBM34;GH65,GH13:+0.2205;CBM34:+0.0986;GH65:+0.0068
152,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;CBM34,GH13;CBM34,GH13:+0.2926;CBM34:+0.1157
154,0,alpha-glucan,alpha-glucan,0.8669438669438668,GH13,GH13;CBM34;GH65,GH13;CBM34;GH65,GH13:+0.2205;CBM34:+0.0986;GH65:+0.0068
155,0,alpha-glucan,alpha-glucan,1.0,3.A.2,3.A.2;GH32;null,3.A.2;GH32;null,3.A.2:+0.3971;GH32:+0.3113;null:+0.2020
156,0,alpha-glucan,alpha-glucan,1.0,GH97,GH97;GH13;1.B.14,GH97;GH13;1.B.14;8.A.46;null,GH97:+0.3333;GH13:+0.1659;1.B.14:+0.0690;8.A.46:+0.0509;null:+0.0384
165,0,alpha-glucan,alpha-glucan,1.0,LacI,LacI;GH32;4.A.1,LacI;GH32;4.A.1,LacI:+0.3911;GH32:+0.1780;4.A.1:+0.1490
170,0,alpha-glucan,alpha-glucan,1.0,GH13,GH13;GT5;CBM48,GH13;GT5;CBM48;Pyr;null,GH13:+0.1064;GT5:+0.0146;CBM48:+0.0142;Pyr:+0.0119;null:+0.0060
183,0,alpha-mannan,alpha-mannan,0.9085603112840467,GH125,GH125;GH76;GH92,GH125;GH76;GH92;1.B.14;GH97,GH125:+0.2713;GH76:+0.2412;GH92:+0.1681;1.B.14:+0.1370;GH97:+0.1302
190,0,alpha-mannan,alpha-mannan,1.0,null,null;GH92;1.B.14,null;GH92;1.B.14,null:+0.2627;GH92:+0.2571;1.B.14:+0.1787
191,0,alpha-mannan,alpha-mannan,0.9761431411530815,GH92,GH92;null;1.B.14,GH92;null;1.B.14;GH99;9.B.14,GH92:+0.1904;null:+0.1564;1.B.14:+0.1214;GH99:+0.0293;9.B.14:+0.0244
194,0,alpha-mannan,alpha-mannan,1.0,GH92,GH92;null;1.B.14,GH92;null;1.B.14;9.B.14,GH92:+0.1914;null:+0.1802;1.B.14:+0.1346;9.B.14:+0.0241
200,0,arabinogalactan,arabinogalactan,0.9309640303897155,9.B.28,9.B.28;2.A.3;GH43,9.B.28;2.A.3;GH43,9.B.28:+0.4273;2.A.3:+0.2869;GH43:+0.2365
209,0,arabinogalactan,arabinogalactan,0.9763313609467456,1.B.14,1.B.14;GH16;HTH,1.B.14;GH16;HTH;AraC;null,1.B.14:+0.4654;GH16:+0.3690;HTH:+0.2731;AraC:+0.2338;null:+0.0768
215,0,arabinogalactan,arabinogalactan,1.0,GH43,GH43;1.B.14;GH51,GH43;1.B.14;GH51;HTH;AraC,GH43:+0.5843;1.B.14:+0.5169;GH51:+0.3580;HTH:+0.2522;AraC:+0.2284
218,0,arabinogalactan,host glycan,0.01984329053644713,CBM32,CBM32;GH51;GH2,CBM32;GH51;GH2,CBM32:+0.0096;GH51:+0.0035;GH2:+0.0035
225,0,arabinogalactan,arabinogalactan,0.9940239043824701,GH35,GH35;1.A.30;null,GH35;1.A.30;null;HTH;AraC,GH35:+0.2561;1.A.30:+0.2558;null:+0.2459;HTH:+0.2038;AraC:+0.1772
232,0,arabinogalactan,arabinogalactan,1.0,GH154,GH154;GH105;GH43,GH154;GH105;GH43;1.B.14;PL42,GH154:+0.2972;GH105:+0.2574;GH43:+0.2428;1.B.14:+0.2277;PL42:+0.1763
233,0,arabinogalactan,arabinogalactan,0.33461916561688215,GH51,GH51;3.A.1;GH127,GH51;3.A.1;GH127;GH27,GH51:+0.0949;3.A.1:+0.0816;GH127:+0.0427;GH27:+0.0040
236,0,beta-glucan,beta-glucan,0.4291581108829568,GH3,GH3;GH16,GH3;GH16,GH3:+0.4209;GH16:+0.2069
240,0,beta-glucan,beta-glucan,1.0,GH1,GH1;LacI;1.B.14,GH1;LacI;1.B.14;2.A.2,GH1:+0.6562;LacI:+0.3712;1.B.14:+0.2384;2.A.2:+0.1354
245,0,beta-glucan,beta-glucan,1.0,LacI,LacI;GH3;GH1,LacI;GH3;GH1;GH16;2.A.1,LacI:+0.2524;GH3:+0.1964;GH1:+0.1675;GH16:+0.1643;2.A.1:+0.1493
246,0,beta-glucan,beta-glucan,0.8178571428571428,GH3,GH3;1.B.14;GH30,GH3;1.B.14;GH30;8.A.46;GH16,GH3:+0.2004;1.B.14:+0.1321;GH30:+0.0971;8.A.46:+0.0816;GH16:+0.0750
255,0,beta-glucan,beta-glucan,1.0,CBM4,CBM4;1.B.14;null,CBM4;1.B.14;null,CBM4:+0.6806;1.B.14:+0.3130;null:+0.1612
262,0,beta-glucan,beta-glucan,0.9984683689098276,GH1,GH1;4.A.1,GH1;4.A.1,GH1:+0.7205;4.A.1:+0.4639
267,0,beta-glucan,beta-glucan,1.0,LacI,LacI;GH1;GH3,LacI;GH1;GH3;GH16;2.A.1,LacI:+0.2655;GH1:+0.2570;GH3:+0.2123;GH16:+0.1925;2.A.1:+0.1647
272,0,beta-glucan,beta-glucan,1.0,GH31,GH31;GH3;GH5,GH31;GH3;GH5;1.B.14;GH2,GH31:+0.2385;GH3:+0.2130;GH5:+0.2052;1.B.14:+0.1553;GH2:+0.1387
284,0,beta-glucan,beta-glucan,1.0,GH158,GH158;GerE;GH3,GH158;GerE;GH3;1.B.14;null,GH158:+0.4452;GerE:+0.4067;GH3:+0.3537;1.B.14:+0.2410;null:+0.1238
287,0,beta-glucan,beta-glucan,0.3733031674208145,GH3,GH3;HTH;1.B.14,GH3;HTH;1.B.14;null,GH3:+0.3037;HTH:+0.1741;1.B.14:+0.1491;null:+0.0525
291,0,beta-glucan,beta-glucan,1.0,GH16,GH16;8.A.46;GH3,GH16;8.A.46;GH3;1.B.14;null,GH16:+0.3609;8.A.46:+0.3343;GH3:+0.3205;1.B.14:+0.2509;null:+0.0651
297,0,beta-glucan,beta-glucan,0.951373749786551,GH9,GH9;GH8;CBM4,GH9;GH8;CBM4;CBM3;GH48,GH9:+0.1032;GH8:+0.0504;CBM4:+0.0301;CBM3:+0.0275;GH48:+0.0029
300,0,beta-glucan,beta-glucan,0.86875,GH5,GH5;CBM4;1.B.14,GH5;CBM4;1.B.14;null;HTH,GH5:+0.2305;CBM4:+0.2053;1.B.14:+0.1829;null:+0.1014;HTH:+0.0043
308,0,beta-glucan,beta-glucan,1.0,GH1,GH1;1.B.3;GntR,GH1;1.B.3;GntR;4.A.3,GH1:+0.4901;1.B.3:+0.4556;GntR:+0.3889;4.A.3:+0.3447
316,0,beta-glucan,beta-glucan,0.3733031674208145,GH3,GH3;HTH;1.B.14,GH3;HTH;1.B.14;null,GH3:+0.3037;HTH:+0.1741;1.B.14:+0.1491;null:+0.0525
318,0,beta-glucan,beta-glucan,0.3443889388752127,CBM4,CBM4;GH16,CBM4;GH16,CBM4:+0.1483;GH16:+0.0124
322,0,beta-glucan,beta-glucan,1.0,GH1,GH1;LacI;3.A.1,GH1;LacI;3.A.1,GH1:+0.8658;LacI:+0.4709;3.A.1:+0.2194
327,0,beta-glucan,beta-glucan,0.9408419179987992,GH5,GH5;1.B.14;HTH,GH5;1.B.14;HTH;GH36;AraC,GH5:+0.3746;1.B.14:+0.2307;HTH:+0.2233;GH36:+0.1713;AraC:+0.1575
332,0,beta-glucan,beta-glucan,0.9900398406374502,null,null;9.B.154;M23,null;9.B.154;M23;Peptidase;GH73,null:+0.1397;9.B.154:+0.1358;M23:+0.1256;Peptidase:+0.1116;GH73:+0.0976
333,0,beta-glucan,beta-glucan,1.0,null,null;9.B.154;M23,null;9.B.154;M23;Peptidase;GH73,null:+0.1496;9.B.154:+0.1412;M23:+0.1329;Peptidase:+0.1147;GH73:+0.1011
334,0,beta-glucan,beta-glucan,0.998003992015968,9.B.154,9.B.154;null;M23,9.B.154;null;M23;Peptidase;GH73,9.B.154:+0.1520;null:+0.1476;M23:+0.1329;Peptidase:+0.1144;GH73:+0.0960
344,0,beta-glucan,beta-glucan,1.0,GH4,GH4;Mga;4.A.3,GH4;Mga;4.A.3;HTH;null,GH4:+0.5034;Mga:+0.4521;4.A.3:+0.3742;HTH:+0.3436;null:+0.1356
351,0,beta-glucan,beta-glucan,0.7090033422792301,9.B.154,9.B.154;GH73;null,9.B.154;GH73;null,9.B.154:+0.2595;GH73:+0.2139;null:+0.1266
352,0,beta-glucan,beta-glucan,1.0,9.B.154,9.B.154;null;M23,9.B.154;null;M23;Peptidase;GH73,9.B.154:+0.1518;null:+0.1496;M23:+0.1369;Peptidase:+0.1130;GH73:+0.0959
355,0,beta-glucan,beta-glucan,0.7728194726166329,GH31,GH31;GH9;null,GH31;GH9;null;1.B.14;9.B.27,GH31:+0.2548;GH9:+0.1755;null:+0.0982;1.B.14:+0.0932;9.B.27:+0.0318
357,0,beta-mannan,beta-mannan,0.5258356362462258,LacI,LacI;GH2;2.A.2,LacI;GH2;2.A.2,LacI:+0.3528;GH2:+0.1730;2.A.2:+0.1703
359,0,beta-mannan,galactan,0.37356274834686826,LacI,LacI;GH2;2.A.2,LacI;GH2;2.A.2,LacI:+0.2767;GH2:+0.1801;2.A.2:+0.1569
369,0,beta-mannan,beta-mannan,0.6080534148350855,4.A.3,4.A.3;GH1,4.A.3;GH1,4.A.3:+0.4485;GH1:+0.2583
370,0,beta-mannan,beta-mannan,1.0,GH26,GH26;4.A.3;GntR,GH26;4.A.3;GntR;null;GH1,GH26:+0.5610;4.A.3:+0.4533;GntR:+0.4055;null:+0.2697;GH1:+0.1663
374,0,beta-mannan,beta-mannan,1.0,GH3,GH3;CBM27;CBM23,GH3;CBM27;CBM23,GH3:+0.3355;CBM27:+0.0611;CBM23:+0.0552
386,0,beta-mannan,beta-mannan,1.0,GH130,GH130;GH26;2.A.2,GH130;GH26;2.A.2;null,GH130:+0.4796;GH26:+0.3447;2.A.2:+0.2721;null:+0.0858
388,0,beta-mannan,beta-mannan,0.6680327868852459,CE7,CE7;GH26;HTH,CE7;GH26;HTH;AraC;8.A.46,CE7:+0.3470;GH26:+0.1752;HTH:+0.1699;AraC:+0.1525;8.A.46:+0.1129
393,0,beta-mannan,beta-mannan,0.7294589178356713,GH130,GH130;GH26;CE7,GH130;GH26;CE7;1.B.14;2.A.2,GH130:+0.2085;GH26:+0.1060;CE7:+0.1002;1.B.14:+0.0340;2.A.2:+0.0306
396,0,beta-mannan,beta-mannan,1.0,GH42,GH42;3.A.1,GH42;3.A.1,GH42:+0.8035;3.A.1:+0.3546
404,0,beta-mannan,beta-mannan,0.9986451827299143,GH130,GH130;GH26;2.A.2,GH130;GH26;2.A.2;1.B.14;AraC,GH130:+0.3315;GH26:+0.2948;2.A.2:+0.1569;1.B.14:+0.1553;AraC:+0.1147
410,0,beta-mannan,beta-mannan,1.0,GH13,GH13;4.A.1;LacI,GH13;4.A.1;LacI;GH32;null,GH13:+1.0000;4.A.1:+0.7083;LacI:+0.6816;GH32:+0.5017;null:+0.3723
413,0,beta-mannan,beta-mannan,0.876865671641791,GH130,GH130;GH26;HTH,GH130;GH26;HTH;2.A.21;8.A.46,GH130:+0.2430;GH26:+0.1788;HTH:+0.1106;2.A.21:+0.1021;8.A.46:+0.0932
417,0,beta-mannan,beta-mannan,0.9905807695148829,GH130,GH130;GH26;2.A.2,GH130;GH26;2.A.2;1.B.14;AraC,GH130:+0.3382;GH26:+0.2960;2.A.2:+0.1513;1.B.14:+0.1507;AraC:+0.1145
429,0,chitin,chitin,0.5294117647058824,3.A.1,3.A.1;CBM5;PIG-L,3.A.1;CBM5;PIG-L;GH18,3.A.1:+0.0825;CBM5:+0.0592;PIG-L:+0.0513;GH18:+0.0485
433,0,chitin,chitin,0.991869918699187,4.A.3,4.A.3;GH4;null,4.A.3;GH4;null,4.A.3:+0.6722;GH4:+0.5935;null:+0.1561
437,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH,4.A.3:+0.7344;GH4:+0.2921;AraC:+0.2108;HTH:+0.0783
445,0,chitin,chitin,1.0,GH18,GH18;CBM5,GH18;CBM5,GH18:+0.3131;CBM5:+0.0889
453,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;CE4,4.A.3;GH4;CE4,4.A.3:+0.5358;GH4:+0.4691;CE4:+0.1642
456,0,chitin,chitin,1.0,4.A.3,4.A.3;GH4;AraC,4.A.3;GH4;AraC;HTH,4.A.3:+1.0000;GH4:+0.2900;AraC:+0.2000;HTH:+0.1036
465,0,chitin,chitin,1.0,GH20,GH20;3.A.1;reg,GH20;3.A.1;reg;HATPase;HisKA,GH20:+0.2684;3.A.1:+0.2329;reg:+0.1846;HATPase:+0.1748;HisKA:+0.1667
