idx,y_true,pred_cpu,pred_ft,pred_trans,nov_cpu_view,nov_ft_view,cpu_correct,ft_correct,trans_correct
0,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
1,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
2,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
3,alginate,alginate,alginate,alginate,0.125,0.0,1,1,1
4,alginate,alginate,alginate,alginate,0.0,0.14285714285714285,1,1,1
5,alginate,alginate,alginate,alginate,0.0,0.16666666666666666,1,1,1
6,alginate,alginate,alginate,alginate,0.14285714285714285,0.0,1,1,1
7,alginate,alginate,alginate,alginate,0.25,0.3333333333333333,1,1,1
8,alginate,alginate,alginate,alginate,0.375,0.0,1,1,1
9,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
10,alginate,alginate,alginate,alginate,0.045454545454545456,0.0,1,1,1
11,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
12,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
13,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
14,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
15,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
16,alginate,alginate,alginate,galactan,0.0,0.0,1,1,0
17,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
18,alginate,alginate,alginate,alginate,0.25,0.3333333333333333,1,1,1
19,alginate,alginate,alginate,alginate,0.125,0.0,1,1,1
20,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
21,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
22,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
23,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
24,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
25,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
26,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
27,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
28,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
29,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
30,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
31,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
32,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
33,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
34,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
35,alginate,alginate,alginate,alginate,0.125,0.0,1,1,1
36,alginate,alginate,host glycan,pectin,0.0,0.0,1,0,0
37,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
38,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
39,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
40,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
41,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
42,alginate,alginate,alginate,alginate,0.0,0.14285714285714285,1,1,1
43,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
44,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
45,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
46,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
47,alginate,alginate,alginate,alginate,0.0,0.0,1,1,1
48,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
49,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
50,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.16666666666666666,1,1,1
51,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
52,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
53,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
54,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
55,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.5,1,1,1
56,alpha-glucan,alpha-glucan,alpha-glucan,galactan,0.0,0.3333333333333333,1,1,0
57,alpha-glucan,alpha-glucan,alpha-glucan,fructan,0.0,0.5,1,1,0
58,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.25,1,1,1
59,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.16666666666666666,0.2222222222222222,1,1,1
60,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.08333333333333333,0.0,1,1,1
61,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
62,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
63,alpha-glucan,alpha-glucan,alpha-glucan,alpha-glucan,0.0,0.0,1,1,1
