shorthand,mean_acc,std_acc,n_trials,min_acc,max_acc,median_acc,rank
cpu__ET500_log2,0.9058252427184467,0.01716278595112978,25,0.8786407766990292,0.9466019417475728,0.9029126213592233,1
ftCbow_MM__ET500_sqrt,0.9011650485436894,0.02201836724035478,25,0.8640776699029126,0.9466019417475728,0.8932038834951457,2
cv__BRF100,0.8448543689320388,0.0249295989288942,25,0.7912621359223301,0.8932038834951457,0.8495145631067961,3
ftCbow__BRF100,0.8337864077669903,0.028591367616751896,25,0.7815533980582524,0.8883495145631068,0.8300970873786407,4
w2vSg__BRF100,0.8285436893203884,0.02548428106486735,25,0.7669902912621359,0.8786407766990292,0.8252427184466019,5
ftSg__LSTMattn,0.827378640776699,0.023029704692112872,25,0.7961165048543689,0.8786407766990292,0.8300970873786407,6
ftCbow__LSTMattn,0.8223300970873787,0.02557197512828332,25,0.7621359223300971,0.8640776699029126,0.8252427184466019,7
ftSg__BRF100,0.8213592233009709,0.02255236224072225,25,0.7864077669902912,0.8689320388349514,0.8155339805825242,8
ftCbow__Trans,0.8190291262135923,0.031971342070617914,25,0.7233009708737864,0.8689320388349514,0.8252427184466019,9
w2vSg__LSTMattn,0.8149514563106796,0.022739665912650482,25,0.7815533980582524,0.8592233009708737,0.8106796116504854,10
w2vCbow__BRF100,0.8147572815533981,0.027591725135331698,25,0.7475728155339806,0.8640776699029126,0.8155339805825242,11
ftSg__Trans,0.8118446601941747,0.024444370655259375,25,0.7718446601941747,0.8495145631067961,0.8106796116504854,12
w2vCbow__LSTMattn,0.8097087378640776,0.023987001748177323,25,0.7427184466019418,0.8495145631067961,0.8106796116504854,13
d2vDm__LSTMattn,0.8027184466019418,0.022806925319377076,25,0.7427184466019418,0.8495145631067961,0.8009708737864077,14
w2vSg__Trans,0.802135922330097,0.030421572665645602,25,0.7378640776699029,0.8543689320388349,0.8058252427184466,15
w2vCbow__Trans,0.8013592233009709,0.03435187809387377,25,0.7281553398058253,0.8640776699029126,0.8009708737864077,16
ftSg__JustAttn,0.7986407766990291,0.025881875758099936,25,0.7427184466019418,0.8446601941747572,0.7961165048543689,17
w2vSg__JustAttn,0.7924271844660195,0.02581197800323282,25,0.7330097087378641,0.8300970873786407,0.7912621359223301,18
w2vCbow__JustAttn,0.7889320388349514,0.03375212150142915,25,0.7038834951456311,0.8495145631067961,0.7912621359223301,19
d2vDm__Trans,0.7844660194174757,0.027027982343835053,25,0.7281553398058253,0.8252427184466019,0.7912621359223301,20
ftCbow__JustAttn,0.7770873786407766,0.07019166807665307,25,0.49514563106796117,0.8640776699029126,0.7815533980582524,21
d2vDbow__BRF100,0.7712621359223302,0.02488386952710091,25,0.7378640776699029,0.8203883495145631,0.7669902912621359,22
d2vDm__JustAttn,0.7625242718446601,0.04605088160103729,25,0.6213592233009708,0.8300970873786407,0.7572815533980582,23
ftSg__LSTM,0.6728155339805825,0.090046035781858,25,0.46116504854368934,0.7864077669902912,0.6941747572815534,24
w2vSg__LSTM,0.6654368932038836,0.10532339961423433,25,0.4320388349514563,0.8349514563106796,0.6990291262135923,25
ftCbow__LSTM,0.6423300970873786,0.08044838134960489,25,0.49514563106796117,0.7621359223300971,0.6553398058252428,26
d2vDm__LSTM,0.6221359223300971,0.10974954134239323,25,0.23786407766990292,0.7524271844660194,0.6359223300970874,27
w2vCbow__LSTM,0.6067961165048544,0.09249876548833603,25,0.41262135922330095,0.7815533980582524,0.616504854368932,28
d2vDm__BRF100,0.5881553398058252,0.03107301738790979,25,0.5485436893203883,0.6504854368932039,0.587378640776699,29
