config,shorthand,family,role,featurizer,classifier,description,repeat_seed,fold,acc,classwise,precision_macro,recall_macro,f1_macro,best_substrate,worst_substrate,wall_sec
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,42,0,0.9077669902912622,,0.888435175935176,0.8949022395732923,0.8902976389986194,alpha-mannan=1.00,arabinogalactan=0.71,4.775378942489624
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,42,1,0.912621359223301,,0.8957341269841269,0.9215435222672066,0.9039427162628519,alpha-mannan=1.00,fructan=0.80,4.7706029415130615
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,42,2,0.8883495145631068,,0.8901229722658295,0.867814889788574,0.8769648150515343,alpha-mannan=1.00,galactan=0.62,4.8333659172058105
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,42,3,0.9320388349514563,,0.9508964233841685,0.9123015873015872,0.9263389698327887,alpha-mannan=1.00,arabinogalactan=0.77,4.873102188110352
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,42,4,0.9077669902912622,,0.9301265401265403,0.9125396825396824,0.9192304962116049,arabinogalactan=1.00,beta-glucan=0.83,4.8802101612091064
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,43,0,0.9368932038834952,,0.942481948919919,0.9405308543795387,0.9411582350547456,fructan=1.00,arabinogalactan=0.86,4.941821813583374
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,43,1,0.9029126213592233,,0.8976227145870004,0.8990895909645911,0.8953596945409242,alpha-mannan=1.00,arabinogalactan=0.77,4.850441932678223
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,43,2,0.9223300970873787,,0.9383975256769376,0.9184884486858172,0.9262989787989788,alpha-mannan=1.00,xylan=0.85,4.837659120559692
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,43,3,0.9466019417475728,,0.944904401154401,0.9244543650793648,0.9303602272678928,fructan=1.00,arabinogalactan=0.62,5.029112100601196
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,43,4,0.9320388349514563,,0.9228504208557401,0.9315468559218559,0.926100706325622,alpha-mannan=1.00,arabinogalactan=0.77,4.929197072982788
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,44,0,0.8932038834951457,,0.9099252761533464,0.89207943737549,0.8979979182120097,fructan=1.00,beta-mannan=0.78,4.973768949508667
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,44,1,0.9368932038834952,,0.9507730491186371,0.9246329365079364,0.9303617259908789,xylan=1.00,arabinogalactan=0.73,5.017466068267822
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,44,2,0.9271844660194175,,0.9353874883286649,0.910296574770259,0.9178001425989932,pectin=1.00,arabinogalactan=0.55,4.923917770385742
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,44,3,0.9320388349514563,,0.9234806166056165,0.9308417277167277,0.9255962389461548,arabinogalactan=1.00,fructan=0.80,4.9374840259552
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,44,4,0.9077669902912622,,0.9267946843604739,0.8743353174603175,0.8890429432108999,fructan=1.00,alpha-mannan=0.67,4.9415130615234375
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,45,0,0.9174757281553398,,0.9184356999643658,0.903942709337446,0.907586012920128,alpha-mannan=1.00,arabinogalactan=0.67,4.944723844528198
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,45,1,0.912621359223301,,0.9290297202797202,0.914126221001221,0.9192861913143342,xylan=1.00,beta-mannan=0.75,4.968183994293213
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,45,2,0.8980582524271845,,0.9011602418745276,0.9076055121778808,0.8995782362704934,alpha-mannan=1.00,galactan=0.73,5.0350189208984375
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,45,3,0.9368932038834952,,0.9347967772967772,0.9397016178266178,0.936351111133756,chitin=1.00,beta-mannan=0.86,5.009224891662598
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,45,4,0.9174757281553398,,0.9056476236529428,0.9047214590964591,0.9016117221875569,alpha-mannan=1.00,arabinogalactan=0.67,5.03718900680542
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,46,0,0.9271844660194175,,0.937614468864469,0.9204608476319004,0.9272361599771589,alpha-mannan=1.00,fructan=0.83,5.074985980987549
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,46,1,0.8980582524271845,,0.90163077010614,0.8877136752136753,0.8915838873592157,alpha-mannan=1.00,galactan=0.69,5.020597219467163
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,46,2,0.9223300970873787,,0.9291679636045399,0.9057482648930018,0.9142654026572229,fructan=1.00,arabinogalactan=0.67,4.947533130645752
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,46,3,0.9223300970873787,,0.9215124333301947,0.9344627594627594,0.9258088248031479,alpha-mannan=1.00,arabinogalactan=0.82,5.031917095184326
ours_CountVec_v2_OvR_ET,cpuV2__ET500_log2,ours_shallow,shallow,"CountVec_cpu_v2 (split ',' '|' '_'; TC->3-level family; CAZy family fallback)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Deployed model: CountVec with the v2 tokenizer x ExtraTrees.,46,4,0.9174757281553398,,0.9298504863359937,0.9073611111111112,0.9152055838509524,fructan=1.00,galactan=0.76,5.144652605056763
ours_CountVec_OvR_ET,cpu__ET500_log2,ours_shallow,shallow,"CountVec_cpu (split ',' '|' '_'; sparse counts)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Our tuned CountVec × ExtraTrees winner.,42,0,0.8980582524271845,,0.870682519640853,0.8547122212582737,0.8611639484870617,chitin=1.00,fructan=0.55,5.516895055770874
ours_CountVec_OvR_ET,cpu__ET500_log2,ours_shallow,shallow,"CountVec_cpu (split ',' '|' '_'; sparse counts)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Our tuned CountVec × ExtraTrees winner.,42,1,0.9029126213592233,,0.8780923163579814,0.8772662023648866,0.8756402625152625,alpha-mannan=1.00,fructan=0.67,5.49198317527771
ours_CountVec_OvR_ET,cpu__ET500_log2,ours_shallow,shallow,"CountVec_cpu (split ',' '|' '_'; sparse counts)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Our tuned CountVec × ExtraTrees winner.,42,2,0.8737864077669902,,0.8650620675620676,0.8477329541803228,0.8547900433266288,alpha-mannan=1.00,fructan=0.62,5.381761074066162
ours_CountVec_OvR_ET,cpu__ET500_log2,ours_shallow,shallow,"CountVec_cpu (split ',' '|' '_'; sparse counts)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Our tuned CountVec × ExtraTrees winner.,42,3,0.9223300970873787,,0.9402100840336135,0.8902281746031746,0.9083518915608074,alpha-mannan=1.00,arabinogalactan=0.77,5.51768684387207
ours_CountVec_OvR_ET,cpu__ET500_log2,ours_shallow,shallow,"CountVec_cpu (split ',' '|' '_'; sparse counts)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Our tuned CountVec × ExtraTrees winner.,42,4,0.9320388349514563,,0.9559139716492657,0.9123313492063492,0.9310909382492797,arabinogalactan=1.00,alpha-mannan=0.86,5.519001007080078
ours_CountVec_OvR_ET,cpu__ET500_log2,ours_shallow,shallow,"CountVec_cpu (split ',' '|' '_'; sparse counts)",OvR(ExtraTrees n=500 log2 balanced bootstrap=False),Our tuned CountVec × ExtraTrees winner.,43,0,0.9466019417475728,,0.9555112643347937,0.9427423928410771,0.947294019001336,alpha-mannan=1.00,galactan=0.86,5.521711111068726
