shorthand,mean_acc,std_acc,n
cpu__ET500_log2,0.9066019417475728,0.017405919542713286,25
ftCbow_MM__ET500_sqrt,0.9009708737864078,0.021844660194174758,25
cv__BRF100,0.8401941747572814,0.02541483517030762,25
ftCbow__BRF100,0.8289320388349515,0.02299557142199421,25
w2vSg__BRF100,0.8242718446601941,0.026588473665299317,25
ftSg__BRF100,0.8135922330097087,0.025610342704440788,25
w2vCbow__BRF100,0.8122330097087378,0.028640776699029133,25
d2vDbow__BRF100,0.8093203883495146,0.025476574202543085,25
ftSg__LSTM,0.7922330097087378,0.03307270782519366,25
ftSg__LSTMattn,0.7889320388349514,0.02386882228791901,25
ftCbow__LSTMattn,0.7887378640776699,0.025767814581870087,25
ftSg__JustAttn,0.7811650485436893,0.031829758136068136,25
w2vSg__LSTMattn,0.7805825242718447,0.023406919322798442,25
w2vSg__LSTM,0.7780582524271844,0.02924463520409671,25
ftCbow__Trans,0.7749514563106795,0.03394820463933554,25
w2vSg__JustAttn,0.7747572815533981,0.02211270286200073,25
w2vCbow__LSTMattn,0.7745631067961165,0.027067188076603202,25
w2vSg__Trans,0.7702912621359224,0.050869061516303195,25
w2vCbow__Trans,0.7648543689320388,0.03511960630618625,25
w2vCbow__JustAttn,0.7613592233009708,0.03100975534625545,25
ftCbow__LSTM,0.7590291262135922,0.02705993204128085,25
w2vCbow__LSTM,0.754757281553398,0.027500474864293682,25
ftSg__Trans,0.7537864077669902,0.030137513303347793,25
ftCbow__JustAttn,0.7427184466019418,0.032352344697624914,25
d2vDm__BRF100,0.625242718446602,0.03770608478230115,25
