substrate,n_test,precision,recall,F1
alginate,48,1.0,1.0,1.0
alpha-mannan,22,1.0,0.9545454545454546,0.9767441860465116
host glycan,240,0.9203187250996016,0.9625,0.9409368635437881
xylan,97,0.9285714285714286,0.9381443298969072,0.9333333333333333
alpha-glucan,128,0.9097744360902256,0.9453125,0.9272030651340997
pectin,102,0.9292929292929293,0.9019607843137255,0.9154228855721394
chitin,63,0.9333333333333333,0.8888888888888888,0.9105691056910569
beta-glucan,123,0.8888888888888888,0.9105691056910569,0.8995983935742972
arabinogalactan,36,0.9,0.75,0.8181818181818182
galactan,72,0.8115942028985508,0.7777777777777778,0.7943262411347518
beta-mannan,68,0.782608695652174,0.7941176470588235,0.7883211678832117
fructan,31,0.8076923076923077,0.6774193548387096,0.7368421052631579
