substrate,n_total,n_eligible,n_hit_at_K,pul_hit_rate,lit_canon_size,n_in_scope,n_flagged_at_K,scope_recall
alginate,48,48,48,1.0,12,6,5,0.8333333333333334
beta-glucan,123,112,110,0.9821428571428571,87,25,16,0.64
alpha-glucan,128,100,96,0.96,41,14,10,0.7142857142857143
beta-mannan,68,46,44,0.9565217391304348,18,10,8,0.8
host glycan,240,230,214,0.9304347826086956,65,31,20,0.6451612903225806
xylan,97,91,84,0.9230769230769231,51,26,12,0.46153846153846156
pectin,102,70,64,0.9142857142857143,33,26,12,0.46153846153846156
chitin,63,22,19,0.8636363636363636,36,10,5,0.5
fructan,31,29,25,0.8620689655172413,6,3,2,0.6666666666666666
alpha-mannan,22,20,13,0.65,7,5,3,0.6
arabinogalactan,36,35,22,0.6285714285714286,21,12,6,0.5
galactan,72,34,18,0.5294117647058824,17,5,2,0.4
