shorthand,rep_1_mean,rep_2_mean,rep_3_mean,rep_4_mean,rep_5_mean,cross_rep_mean,cross_rep_std,cross_rep_min,cross_rep_max,min_n_trials
cpu__ET500_log2,0.9066,0.9068,0.9064,0.9064,0.9052,0.9063,0.0006,0.9052,0.9068,25
ftCbow_MM__ET500_sqrt,0.9010,0.9012,0.9000,0.9002,0.9012,0.9007,0.0006,0.9000,0.9012,25
cv__BRF100,0.8402,0.8412,0.8390,0.8433,0.8435,0.8414,0.0019,0.8390,0.8435,25
ftCbow__BRF100,0.8301,0.8328,0.8305,0.8282,0.8313,0.8306,0.0017,0.8282,0.8328,25
w2vSg__BRF100,0.8169,0.8179,0.8184,0.8188,0.8196,0.8183,0.0010,0.8169,0.8196,25
ftSg__BRF100,0.8148,0.8150,0.8093,0.8146,0.8105,0.8128,0.0027,0.8093,0.8150,25
w2vCbow__BRF100,0.8095,0.8054,0.8175,0.8070,0.8099,0.8099,0.0046,0.8054,0.8175,25
ftCbow__LSTMattn,0.7883,0.7839,0.7878,0.7909,0.7915,0.7885,0.0030,0.7839,0.7915,21
ftSg__LSTMattn,0.7860,0.7903,0.7917,0.7950,0.7806,0.7887,0.0055,0.7806,0.7950,16
d2vDm__BRF100,0.7825,0.7849,0.7806,0.7821,0.7773,0.7815,0.0028,0.7773,0.7849,25
w2vSg__LSTMattn,0.7821,0.7763,0.7827,0.7833,0.7753,0.7800,0.0038,0.7753,0.7833,25
ftCbow__Trans,0.7819,0.7775,0.7697,0.7808,0.7679,0.7756,0.0064,0.7679,0.7819,21
ftSg__JustAttn,0.7796,0.7823,0.7763,0.7817,0.7761,0.7792,0.0029,0.7761,0.7823,16
ftSg__LSTM,0.7784,0.7817,0.7755,0.7885,0.7649,0.7778,0.0087,0.7649,0.7885,16
d2vDm__LSTMattn,0.7713,0.7652,0.7790,0.7715,0.7742,0.7722,0.0050,0.7652,0.7790,25
w2vCbow__LSTMattn,0.7711,0.7627,0.7767,0.7771,0.7781,0.7731,0.0064,0.7627,0.7781,25
w2vSg__Trans,0.7693,0.7635,0.7748,0.7672,0.7584,0.7666,0.0061,0.7584,0.7748,25
ftSg__Trans,0.7689,0.7654,0.7726,0.7697,0.7591,0.7672,0.0052,0.7591,0.7726,16
w2vSg__LSTM,0.7683,0.7664,0.7678,0.7769,0.7685,0.7696,0.0042,0.7664,0.7769,25
w2vSg__JustAttn,0.7652,0.7775,0.7695,0.7683,0.7643,0.7690,0.0052,0.7643,0.7775,25
w2vCbow__Trans,0.7619,0.7447,0.7551,0.7650,0.7649,0.7583,0.0086,0.7447,0.7650,25
w2vCbow__JustAttn,0.7559,0.7483,0.7474,0.7388,0.7557,0.7492,0.0071,0.7388,0.7559,25
w2vCbow__LSTM,0.7518,0.7476,0.7548,0.7604,0.7553,0.7540,0.0047,0.7476,0.7604,25
ftCbow__LSTM,0.7517,0.7536,0.7563,0.7449,0.7497,0.7512,0.0043,0.7449,0.7563,21
d2vDm__Trans,0.7495,0.7381,0.7313,0.7435,0.7466,0.7418,0.0073,0.7313,0.7495,25
d2vDbow__BRF100,0.7491,0.7528,0.7431,0.7449,0.7416,0.7463,0.0046,0.7416,0.7528,25
ftCbow__JustAttn,0.7404,0.7590,0.7342,0.7654,0.7575,0.7513,0.0133,0.7342,0.7654,21
d2vDm__JustAttn,0.7320,0.7247,0.7231,0.7186,0.7194,0.7236,0.0054,0.7186,0.7320,25
d2vDm__LSTM,0.7206,0.7318,0.7373,0.7332,0.7359,0.7318,0.0066,0.7206,0.7373,25
