shorthand,mean,std,min_,median,max_,n,featurizer_fam,featurizer_det,clf_fam,clf_det,rank
cpu__ET500_log2,0.9066019417475728,0.017405919542713286,0.8737864077669902,0.9029126213592232,0.9466019417475728,25,CountVec,"tok_cpu (splits on , | _)",OvR(ExtraTrees),"n=500, max_features=log2, class_weight=balanced",1
ftCbow_MM__ET500_sqrt,0.9009708737864078,0.0224651187328719,0.8592233009708737,0.8932038834951457,0.9466019417475728,25,FastText,CBOW · mean+max concat,OvR(ExtraTrees),"n=500, max_features=sqrt, class_weight=balanced",2
cv__BRF100,0.8401941747572814,0.02541483517030762,0.7912621359223301,0.8349514563106796,0.9029126213592232,25,CountVec,"paper's tok_comma_pipe (, |)",OvR(BalancedRF),"n=100, class_weight=balanced (paper)",3
ftCbow__BRF100,0.8300970873786407,0.02982574205690416,0.7864077669902912,0.8203883495145631,0.8883495145631068,25,FastText,CBOW · mean-pooled,OvR(BalancedRF),"n=100, class_weight=balanced (paper)",4
w2vSg__BRF100,0.8168932038834952,0.026310799030049393,0.7766990291262136,0.8203883495145631,0.8689320388349514,25,Word2Vec,skip-gram · mean-pooled,OvR(BalancedRF),"n=100, class_weight=balanced (paper)",5
ftSg__BRF100,0.8147572815533981,0.02532814769825488,0.7766990291262136,0.8058252427184466,0.8689320388349514,25,FastText,skip-gram · mean-pooled,OvR(BalancedRF),"n=100, class_weight=balanced (paper)",6
w2vCbow__BRF100,0.809514563106796,0.030292195654024648,0.7572815533980582,0.8106796116504854,0.8640776699029126,25,Word2Vec,CBOW · mean-pooled,OvR(BalancedRF),"n=100, class_weight=balanced (paper)",7
ftCbow__LSTMattn,0.7883495145631068,0.02139045965437262,0.7427184466019418,0.7912621359223301,0.8300970873786407,25,FastText,CBOW · mean-pooled,DL: LSTM+attention,LSTM + attention (paper),8
ftSg__LSTMattn,0.7860194174757281,0.02344547961427038,0.7378640776699029,0.7912621359223301,0.8349514563106796,25,FastText,skip-gram · mean-pooled,DL: LSTM+attention,LSTM + attention (paper),9
d2vDm__BRF100,0.7825242718446601,0.03170860508457188,0.7233009708737864,0.7766990291262136,0.8398058252427184,25,Doc2Vec,DM · doc-vector,OvR(BalancedRF),"n=100, class_weight=balanced (paper)",10
w2vSg__LSTMattn,0.7821359223300971,0.021859038777396388,0.7427184466019418,0.7815533980582524,0.8349514563106796,25,Word2Vec,skip-gram · mean-pooled,DL: LSTM+attention,LSTM + attention (paper),11
ftCbow__Trans,0.7819417475728155,0.032349916663196365,0.7281553398058253,0.7864077669902912,0.8446601941747572,25,FastText,CBOW · mean-pooled,DL: transformer,4-block transformer (paper),12
ftSg__JustAttn,0.7796116504854369,0.030153147497709074,0.7087378640776699,0.7815533980582524,0.8398058252427184,25,FastText,skip-gram · mean-pooled,DL: attention,attention-only (paper),13
ftSg__LSTM,0.7784466019417475,0.027491904623126447,0.7184466019417476,0.7815533980582524,0.8252427184466019,25,FastText,skip-gram · mean-pooled,DL: LSTM,vanilla LSTM (paper),14
