substrate,n_test,precision,recall,F1
alginate,48,1.0,1.0,1.0
alpha-mannan,22,1.0,0.9545454545454546,0.9767441860465116
host glycan,240,0.928,0.9666666666666667,0.9469387755102041
xylan,97,0.9191919191919192,0.9381443298969072,0.9285714285714286
alpha-glucan,128,0.9097744360902256,0.9453125,0.9272030651340997
pectin,102,0.9393939393939394,0.9117647058823529,0.9253731343283582
chitin,63,0.9491525423728814,0.8888888888888888,0.9180327868852459
beta-glucan,123,0.8968253968253969,0.9186991869918699,0.9076305220883534
arabinogalactan,36,0.8709677419354839,0.75,0.8059701492537313
galactan,72,0.8235294117647058,0.7777777777777778,0.8
beta-mannan,68,0.7941176470588235,0.7941176470588235,0.7941176470588235
fructan,31,0.75,0.6774193548387096,0.711864406779661
