substrate,n_total,n_eligible,n_pul_hit_at_K,pul_hit_rate,lit_canon_size,n_in_scope,n_flagged_at_K,scope_recall
alginate,48,48,48,1.0,12,6,5,0.8333333333333334
beta-glucan,123,112,111,0.9910714285714286,87,25,18,0.72
beta-mannan,68,46,45,0.9782608695652174,18,10,8,0.8
alpha-glucan,128,100,97,0.97,41,14,9,0.6428571428571429
xylan,97,91,87,0.9560439560439561,51,26,12,0.46153846153846156
chitin,63,22,21,0.9545454545454546,36,10,6,0.6
fructan,31,29,27,0.9310344827586207,6,3,2,0.6666666666666666
host glycan,240,230,213,0.9260869565217391,65,31,21,0.6774193548387096
pectin,102,70,64,0.9142857142857143,33,26,13,0.5
alpha-mannan,22,20,16,0.8,7,5,4,0.8
arabinogalactan,36,35,21,0.6,21,12,8,0.6666666666666666
galactan,72,34,18,0.5294117647058824,17,5,3,0.6
