substrate,n_test,top1_acc,top2_acc,top3_acc,top5_acc,mean_true_rank
alginate,48,1.0,1.0,1.0,1.0,1.0
host glycan,240,0.9667,0.9833,0.9875,0.9917,1.0875
alpha-mannan,22,0.9545,1.0,1.0,1.0,1.0455
alpha-glucan,128,0.9453,0.9844,1.0,1.0,1.0703
xylan,97,0.9381,0.9794,0.9794,0.9794,1.1856
beta-glucan,123,0.9187,0.9675,0.9919,1.0,1.122
pectin,102,0.9118,0.9608,0.9804,0.9804,1.2843
chitin,63,0.8889,0.9524,0.9524,0.9524,1.3968
beta-mannan,68,0.7941,0.8971,0.9412,0.9559,1.5441
galactan,72,0.7778,0.9028,0.9306,0.9444,1.6944
arabinogalactan,36,0.75,0.8611,0.9444,0.9722,1.6389
fructan,31,0.6774,0.7742,0.9032,0.9032,2.2903
