shorthand,orig,retr,max_abs_per_fold,max_abs_fold_delta,delta,abs_delta,pretty,bucket
ftSg__BRF100,0.8147572815533981,0.8149514563106796,0,0.03398058252427183,0.00019417475728145117,0.00019417475728145117,FastText skipgram  →  Balanced RF 100,brf
ftCbow_MM__ET500_sqrt,0.9009708737864078,0.9011650485436894,0,0.01941747572815533,0.0001941747572815622,0.0001941747572815622,FastText CBOW (mean+max)  →  ExtraTrees 500 (sqrt),deterministic
cpu__ET500_log2,0.9066019417475728,0.9067961165048544,0,0.009708737864077777,0.0001941747572815622,0.0001941747572815622,"CountVec (split , | _)  →  ExtraTrees 500 (log2)",deterministic
w2vSg__BRF100,0.8168932038834952,0.817864077669903,0,0.03883495145631066,0.000970873786407811,0.000970873786407811,Word2Vec skipgram  →  Balanced RF 100,brf
cv__BRF100,0.8401941747572814,0.8411650485436892,0,0.03883495145631066,0.000970873786407811,0.000970873786407811,"CountVec (paper, split , |)  →  Balanced RF 100",brf
w2vSg__LSTM,0.7683495145631067,0.7664077669902913,0,0.04854368932038833,-0.0019417475728153999,0.0019417475728153999,Word2Vec skipgram  →  LSTM,dl
ftCbow__LSTM,0.7516504854368933,0.7535922330097087,0,0.06796116504854366,0.0019417475728153999,0.0019417475728153999,FastText CBOW  →  LSTM,dl
d2vDm__BRF100,0.7825242718446601,0.7848543689320389,0,0.029126213592232997,0.0023300970873787463,0.0023300970873787463,Doc2Vec DM  →  Balanced RF 100,brf
ftCbow__BRF100,0.8300970873786407,0.8328155339805825,0,0.043689320388349495,0.0027184466019417597,0.0027184466019417597,FastText CBOW  →  Balanced RF 100,brf
ftSg__JustAttn,0.7796116504854369,0.7823300970873787,0,0.04854368932038833,0.0027184466019417597,0.0027184466019417597,FastText skipgram  →  Attention-only,dl
ftSg__LSTM,0.7784466019417475,0.781747572815534,0,0.058252427184465994,0.0033009708737864463,0.0033009708737864463,FastText skipgram  →  LSTM,dl
ftSg__Trans,0.7689320388349514,0.7654368932038835,0,0.11165048543689315,-0.0034951456310678974,0.0034951456310678974,FastText skipgram  →  Transformer (4 blocks),dl
d2vDbow__BRF100,0.749126213592233,0.7528155339805825,0,0.03883495145631066,0.0036893203883495707,0.0036893203883495707,Doc2Vec DBOW  →  Balanced RF 100,brf
w2vCbow__BRF100,0.809514563106796,0.8054368932038836,0,0.043689320388349495,-0.004077669902912473,0.004077669902912473,Word2Vec CBOW  →  Balanced RF 100,brf
w2vCbow__LSTM,0.7518446601941747,0.7475728155339806,0,0.06796116504854366,-0.004271844660194146,0.004271844660194146,Word2Vec CBOW  →  LSTM,dl
ftSg__LSTMattn,0.7860194174757281,0.7902912621359224,0,0.08252427184466027,0.004271844660194257,0.004271844660194257,FastText skipgram  →  LSTM + attention,dl
ftCbow__LSTMattn,0.7883495145631068,0.783883495145631,0,0.058252427184465994,-0.004466019417475708,0.004466019417475708,FastText CBOW  →  LSTM + attention,dl
ftCbow__Trans,0.7819417475728155,0.7774757281553398,0,0.06796116504854366,-0.004466019417475708,0.004466019417475708,FastText CBOW  →  Transformer (4 blocks),dl
w2vSg__Trans,0.7693203883495146,0.7634951456310679,0,0.08737864077669899,-0.005825242718446644,0.005825242718446644,Word2Vec skipgram  →  Transformer (4 blocks),dl
w2vSg__LSTMattn,0.7821359223300971,0.7763106796116505,0,0.043689320388349495,-0.005825242718446644,0.005825242718446644,Word2Vec skipgram  →  LSTM + attention,dl
d2vDm__LSTMattn,0.7712621359223302,0.765242718446602,0,0.08252427184466016,-0.006019417475728206,0.006019417475728206,Doc2Vec DM  →  LSTM + attention,dl
d2vDm__JustAttn,0.7320388349514563,0.7246601941747574,0,0.10679611650485432,-0.007378640776698919,0.007378640776698919,Doc2Vec DM  →  Attention-only,dl
w2vCbow__JustAttn,0.7559223300970873,0.7483495145631067,0,0.16990291262135926,-0.0075728155339805925,0.0075728155339805925,Word2Vec CBOW  →  Attention-only,dl
w2vCbow__LSTMattn,0.7710679611650485,0.7627184466019418,0,0.04854368932038833,-0.00834951456310673,0.00834951456310673,Word2Vec CBOW  →  LSTM + attention,dl
d2vDm__LSTM,0.7205825242718447,0.7318446601941747,0,0.06310679611650483,0.011262135922330052,0.011262135922330052,Doc2Vec DM  →  LSTM,dl
d2vDm__Trans,0.7495145631067962,0.7380582524271844,0,0.09708737864077666,-0.011456310679611836,0.011456310679611836,Doc2Vec DM  →  Transformer (4 blocks),dl
w2vSg__JustAttn,0.765242718446602,0.7774757281553398,0,0.07766990291262132,0.012233009708737863,0.012233009708737863,Word2Vec skipgram  →  Attention-only,dl
w2vCbow__Trans,0.7619417475728156,0.7446601941747574,0,0.14563106796116498,-0.017281553398058258,0.017281553398058258,Word2Vec CBOW  →  Transformer (4 blocks),dl
ftCbow__JustAttn,0.7403883495145631,0.7590291262135922,0,0.14077669902912615,0.018640776699029082,0.018640776699029082,FastText CBOW  →  Attention-only,dl
