locus,known_substrate
alpha-glucan_001,alpha-glucan
pectin_002,pectin
alpha-mannan_003,alpha-mannan
host_glycan_004,host glycan
chitin_005,chitin
arabinogalactan_006,arabinogalactan
galactan_007,galactan
beta-mannan_008,beta-mannan
host_glycan_009,host glycan
host_glycan_010,host glycan
chitin_011,chitin
chitin_012,chitin
alpha-glucan_013,alpha-glucan
fructan_014,fructan
alpha-glucan_015,alpha-glucan
galactan_016,galactan
beta-glucan_017,beta-glucan
beta-glucan_018,beta-glucan
pectin_019,pectin
alpha-mannan_020,alpha-mannan
pectin_021,pectin
arabinogalactan_022,arabinogalactan
alginate_023,alginate
chitin_024,chitin
alginate_025,alginate
host_glycan_026,host glycan
xylan_027,xylan
fructan_028,fructan
arabinogalactan_029,arabinogalactan
beta-glucan_030,beta-glucan
alpha-mannan_031,alpha-mannan
alginate_032,alginate
beta-mannan_033,beta-mannan
beta-glucan_034,beta-glucan
alpha-glucan_035,alpha-glucan
arabinogalactan_036,arabinogalactan
chitin_037,chitin
xylan_038,xylan
beta-mannan_039,beta-mannan
beta-mannan_040,beta-mannan
beta-mannan_041,beta-mannan
host_glycan_042,host glycan
alpha-mannan_043,alpha-mannan
xylan_044,xylan
beta-glucan_045,beta-glucan
alpha-mannan_046,alpha-mannan
xylan_047,xylan
alpha-mannan_048,alpha-mannan
galactan_049,galactan
pectin_050,pectin
chitin_051,chitin
fructan_052,fructan
xylan_053,xylan
pectin_054,pectin
galactan_055,galactan
alginate_056,alginate
alginate_057,alginate
pectin_058,pectin
host_glycan_059,host glycan
chitin_060,chitin
arabinogalactan_061,arabinogalactan
beta-mannan_062,beta-mannan
fructan_063,fructan
beta-mannan_064,beta-mannan
alginate_065,alginate
galactan_066,galactan
beta-glucan_067,beta-glucan
galactan_068,galactan
xylan_069,xylan
alginate_070,alginate
alpha-glucan_071,alpha-glucan
beta-glucan_072,beta-glucan
xylan_073,xylan
chitin_074,chitin
alpha-glucan_075,alpha-glucan
xylan_076,xylan
arabinogalactan_077,arabinogalactan
alpha-mannan_078,alpha-mannan
fructan_079,fructan
beta-glucan_080,beta-glucan
fructan_081,fructan
fructan_082,fructan
alpha-glucan_083,alpha-glucan
pectin_084,pectin
xylan_085,xylan
host_glycan_086,host glycan
beta-glucan_087,beta-glucan
galactan_088,galactan
alginate_089,alginate
alpha-glucan_090,alpha-glucan
arabinogalactan_091,arabinogalactan
alginate_092,alginate
beta-mannan_093,beta-mannan
arabinogalactan_094,arabinogalactan
beta-mannan_095,beta-mannan
pectin_096,pectin
alpha-mannan_097,alpha-mannan
host_glycan_098,host glycan
fructan_099,fructan
arabinogalactan_100,arabinogalactan
