CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TF	contig1	prot1_0	1000	1900	-	LacI
CGC1	TC	contig1	prot1_1	2200	3100	+	3.A.1.1.10
CGC1	TC	contig1	prot1_2	3400	4300	-	3.A.1.1.29
CGC1	null	contig1	prot1_3	4600	5500	+	null
CGC1	CAZyme	contig1	prot1_4	5800	6700	-	GH32
CGC1	TF	contig1	prot1_5	7000	7900	+	PfkB
CGC2	TF	contig1	prot2_0	8200	9100	-	GerE
CGC2	TF	contig1	prot2_1	9400	10300	+	FecR
CGC2	TC	contig1	prot2_2	10600	11500	-	1.B.14.6.1
CGC2	null	contig1	prot2_3	11800	12700	+	null
CGC2	CAZyme	contig1	prot2_4	13000	13900	-	GH92
CGC2	CAZyme	contig1	prot2_5	14200	15100	+	GH92
CGC2	CAZyme	contig1	prot2_6	15400	16300	-	GH28
CGC3	null	contig1	prot3_0	16600	17500	-	null
CGC3	TC	contig1	prot3_1	17800	18700	+	9.B.14.1.10
CGC3	CAZyme	contig1	prot3_2	19000	19900	-	GH99
CGC3	null	contig1	prot3_3	20200	21100	+	null
CGC3	null	contig1	prot3_4	21400	22300	-	null
CGC3	null	contig1	prot3_5	22600	23500	+	null
CGC3	CAZyme	contig1	prot3_6	23800	24700	-	GH92
CGC3	null	contig1	prot3_7	25000	25900	+	null
CGC3	null	contig1	prot3_8	26200	27100	-	null
CGC3	null	contig1	prot3_9	27400	28300	+	null
CGC3	TC	contig1	prot3_10	28600	29500	-	1.B.14.6.2
CGC3	null	contig1	prot3_11	29800	30700	+	null
CGC4	TC	contig1	prot4_0	31000	31900	-	1.A.23
CGC4	null	contig1	prot4_1	32200	33100	+	null
CGC4	CAZyme	contig1	prot4_2	33400	34300	-	GH29|CBM32
CGC4	CAZyme	contig1	prot4_3	34600	35500	+	GH2
CGC4	CAZyme	contig1	prot4_4	35800	36700	-	GH20
CGC4	null	contig1	prot4_5	37000	37900	+	null
CGC4	null	contig1	prot4_6	38200	39100	-	null
CGC4	null	contig1	prot4_7	39400	40300	+	null
CGC4	TC	contig1	prot4_8	40600	41500	-	1.B.14
CGC4	CAZyme	contig1	prot4_9	41800	42700	+	GH18
CGC4	null	contig1	prot4_10	43000	43900	-	null
CGC4	null	contig1	prot4_11	44200	45100	+	null
CGC4	TF	contig1	prot4_12	45400	46300	-	HTH_AraC
CGC4	null	contig1	prot4_13	46600	47500	+	null
CGC5	CAZyme	contig1	prot5_0	47800	48700	-	GH4
CGC5	TC	contig1	prot5_1	49000	49900	+	4.A.3.2.6
CGC5	TC	contig1	prot5_2	50200	51100	-	4.A.3.2.6
CGC5	TC	contig1	prot5_3	51400	52300	+	4.A.3.2.6
CGC5	CAZyme	contig1	prot5_4	52600	53500	-	CE4|CBM12|CBM12
CGC6	TC	contig1	prot6_0	53800	54700	-	2.A.3.1.3
CGC6	CAZyme	contig1	prot6_1	55000	55900	+	GH43_22|GH43_34
CGC6	CAZyme	contig1	prot6_2	56200	57100	-	GH43_22|GH43_26
CGC6	CAZyme	contig1	prot6_3	57400	58300	+	GH43_27
CGC6	CAZyme	contig1	prot6_4	58600	59500	-	GH43_22
CGC6	CAZyme	contig1	prot6_5	59800	60700	+	GH43_22
CGC6	TC	contig1	prot6_6	61000	61900	-	9.B.28.1.3
CGC7	TC	contig1	prot7_0	62200	63100	-	1.B.14.6.1
CGC7	null	contig1	prot7_1	63400	64300	+	null
CGC7	null	contig1	prot7_2	64600	65500	-	null
CGC7	CAZyme	contig1	prot7_3	65800	66700	+	GH16_16
CGC8	TC	contig1	prot8_0	67000	67900	-	2.A.2
CGC8	CAZyme	contig1	prot8_1	68200	69100	+	GH2
CGC8	TF	contig1	prot8_2	69400	70300	-	LacI
CGC8	TF	contig1	prot8_3	70600	71500	+	HTH_AraC+HTH_AraC+HTH_AraC
CGC9	CAZyme	contig1	prot9_0	71800	72700	-	GH35
CGC9	CAZyme	contig1	prot9_1	73000	73900	+	GH43_19
CGC9	CAZyme	contig1	prot9_2	74200	75100	-	GH51_2
CGC10	TF	contig1	prot10_0	75400	76300	-	HTH_AraC+HTH_AraC
CGC10	TC	contig1	prot10_1	76600	77500	+	1.B.14.6.1
CGC10	TF	contig1	prot10_2	77800	78700	-	TPR_1
CGC10	CAZyme	contig1	prot10_3	79000	79900	+	PL33_1
CGC10	CAZyme	contig1	prot10_4	80200	81100	-	GH88
CGC10	null	contig1	prot10_5	81400	82300	+	null
CGC10	CAZyme	contig1	prot10_6	82600	83500	-	GH20
CGC10	CAZyme	contig1	prot10_7	83800	84700	+	GH2
CGC10	CAZyme	contig1	prot10_8	85000	85900	-	GH154
CGC11	CAZyme	contig2	prot11_0	86200	87100	-	GH4
CGC11	TF	contig2	prot11_1	87400	88300	+	HTH_AraC+HTH_AraC
CGC11	TC	contig2	prot11_2	88600	89500	-	4.A.3.2.7
CGC11	TC	contig2	prot11_3	89800	90700	+	4.A.3.2.1
CGC11	TC	contig2	prot11_4	91000	91900	-	4.A.3.2.1
CGC11	null	contig2	prot11_5	92200	93100	+	null
CGC11	null	contig2	prot11_6	93400	94300	-	null
CGC12	CAZyme	contig2	prot12_0	94600	95500	-	CE4
CGC12	TC	contig2	prot12_1	95800	96700	+	4.A.3.2.6
CGC12	TC	contig2	prot12_2	97000	97900	-	4.A.3.2.6
CGC12	TC	contig2	prot12_3	98200	99100	+	4.A.3.2.6
CGC12	CAZyme	contig2	prot12_4	99400	100300	-	GH4
CGC13	CAZyme	contig2	prot13_0	100600	101500	-	GH13_10
CGC13	null	contig2	prot13_1	101800	102700	+	null
CGC13	null	contig2	prot13_2	103000	103900	-	null
CGC13	TC	contig2	prot13_3	104200	105100	+	8.A.46.1.1
CGC13	TC	contig2	prot13_4	105400	106300	-	1.B.14.6.1
CGC13	CAZyme	contig2	prot13_5	106600	107500	+	GH97
CGC13	CAZyme	contig2	prot13_6	107800	108700	-	GH13_46
CGC14	CAZyme	contig2	prot14_0	109000	109900	-	GH32
CGC14	null	contig2	prot14_1	110200	111100	+	null
CGC14	TC	contig2	prot14_2	111400	112300	-	1.B.14.6.1
CGC14	null	contig2	prot14_3	112600	113500	+	null
CGC14	null	contig2	prot14_4	113800	114700	-	null
CGC14	CAZyme	contig2	prot14_5	115000	115900	+	GH32
CGC14	CAZyme	contig2	prot14_6	116200	117100	-	GH32
CGC14	TC	contig2	prot14_7	117400	118300	+	2.A.1.7.17
