locus_id,sequence
contig1|CGC1,"LacI,3.A.1.1.10,3.A.1.1.29,null,GH32,PfkB"
contig1|CGC2,"GerE,FecR,1.B.14.6.1,null,GH92,GH92,GH28"
contig1|CGC3,"null,9.B.14.1.10,GH99,null,null,null,GH92,null,null,null,1.B.14.6.2,null"
contig1|CGC4,"1.A.23,null,GH29|CBM32,GH2,GH20,null,null,null,1.B.14,GH18,null,null,HTH_AraC,null"
contig1|CGC5,"GH4,4.A.3.2.6,4.A.3.2.6,4.A.3.2.6,CE4|CBM12|CBM12"
contig1|CGC6,"2.A.3.1.3,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28.1.3"
contig1|CGC7,"1.B.14.6.1,null,null,GH16_16"
contig1|CGC8,"2.A.2,GH2,LacI,HTH_AraC|HTH_AraC|HTH_AraC"
contig1|CGC9,"GH35,GH43_19,GH51_2"
contig1|CGC10,"HTH_AraC|HTH_AraC,1.B.14.6.1,TPR_1,PL33_1,GH88,null,GH20,GH2,GH154"
contig2|CGC11,"GH4,HTH_AraC|HTH_AraC,4.A.3.2.7,4.A.3.2.1,4.A.3.2.1,null,null"
contig2|CGC12,"CE4,4.A.3.2.6,4.A.3.2.6,4.A.3.2.6,GH4"
contig2|CGC13,"GH13_10,null,null,8.A.46.1.1,1.B.14.6.1,GH97,GH13_46"
contig2|CGC14,"GH32,null,1.B.14.6.1,null,null,GH32,GH32,2.A.1.7.17,0039384,HTH_AraC"
contig2|CGC15,"LacI,2.A.1.5.3,GH32"
contig2|CGC16,"LacI,2.A.2,GH2"
contig2|CGC17,"GerE,1.B.14.6.1,null,Y_Y_Y,GH16_3,GH158,GH3"
contig2|CGC18,"GH30_3,null,1.B.14.6.1,null,GH2|CBM57,PL38|GH88"
contig2|CGC19,"null,null,CE1,null,null,null,8.A.46.1.4,1.B.14.6.1"
contig2|CGC20,"null,null,null,HTH_8,HisKA|HATPase_c|Response_reg,GH97,null,GH67,GH76,null,null,1.B.14,null,HTH_AraC,GH92,null,GH76,GH125,null"
contig3|CGC21,"GH106,GH28,null,GH28,CE12,GH2,GH42,GH28,null,null,1.B.14.6.1,null,null,1.B.14.6.1,null,1.B.14.6.1,null,PL11,PL26,CE12|CE12,GH105,PL11_1,GH105,null,HTH_AraC|HTH_AraC"
contig3|CGC22,"1.B.14,null,PL1_2,null,GH43_18,GH143|GH142,CBM67|GH78"
contig3|CGC23,"null,null,2.A.1.14.25,PL17_2|PL17,null,GntR,null"
contig3|CGC24,"GH4,HTH_AraC|HTH_AraC,4.A.3.2.7,4.A.3.2.7,4.A.3.2.7"
contig3|CGC25,"1.B.14.12.2,null,null,null,null,PfkB,2.A.1.14.25,null,PL17_2|PL17,PL6|PL6_1,null"
contig3|CGC26,"null,GH18,8.A.46.2.1,1.B.14.6.13,gnl,1.B.14.6.13,gnl,FecR,GerE"
contig3|CGC27,"null,2.A.1,HTH_AraC|HTH_AraC,1.B.14,null,1.B.14,GH43_10,HTH_AraC|HTH_AraC,GH43_1,GH10,2.A.2,null,GH67"
contig3|CGC28,"2.A.3.11.1,GH32,GH68_1"
contig3|CGC29,"LacI,SBP_bac_1,3.A.1,3.A.1,GH36,-,null"
contig3|CGC30,"GH30_1,GH42,2.A.1.2.93,0043143"
contig4|CGC31,"GH38,GH125,GntR,GH84,GH1,null,3.A.1.1.9,3.A.1.1.29"
contig4|CGC32,"GntR,CBM32|PL7_5,1.B.14.12.1,PL6_3,PL7_5,2.A.1.14.25,PL6|PL6_1,null,null,null,2.A.1.14.25"
contig4|CGC33,"SBP_bac_1,3.A.1.1.48,3.A.1.1.48,GH42,LacI,GH53|CBM61"
contig4|CGC34,"null,null,1.B.14,GH5_4,HTH_AraC|HTH_AraC,GH36,null"
contig4|CGC35,"SBP_bac_1,3.A.1,3.A.1,GH13_36"
contig4|CGC36,"GH51_1,3.A.1.1.34,3.A.1.1.34,3.A.1.1.34,null,null,null"
contig4|CGC37,"GH4,HTH_AraC|HTH_AraC,4.A.3.2.1,4.A.3.2.1,4.A.3.2.1"
contig4|CGC38,"GH10|CE1,GH95,GH3,SBP_bac_1,HTH_AraC|HTH_AraC"
contig4|CGC39,"null,null,GH36,9.B.28.1.2,GH130_1,null,GH130_2,3.A.1.1.34,3.A.1.1.46,SBP_bac_1,LacI"
contig4|CGC40,"GH30,GH9,null,GH27,null,null,8.A.46.3.2,1.B.14.6.1,GH5_2,HTH_AraC|HTH_AraC,GH26,2.A.21.3.8,GH130_1,null,GH26,CE20"
contig5|CGC41,"HTH_AraC|HTH_AraC,1.B.14.6.1,null,GH26,GH26,GH36,GH130_1,2.A.2.3.6,null,null,null"
contig5|CGC42,"GH20,GH2,CE3|CE20,CE3,GH20,CBM93|GH33,8.A.46.1.4,1.B.14.6.1,null"
